account_index,address,balance,total_value_usd,yesterday_balance,change_24h,AAVE,ETH,LDO,LINK,SKY,UNI,USDC
304842,0xB3aAcB026481cbB64Be0d5022f834443E7999c0d,42093.60,659689.36,42093.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
214031,0x5e04Cc36c57dBf9e355FE2CB9b66D2d0816C20A6,0.60,647101.45,0.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00302800
314445,0xa0D66BaB5F04cB3055cc2f6b0494Cb33BE32c2C2,4469.40,643413.08,4469.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
34384,0xCCF7ed7a2f702c883Cf496abf8506dDC055D3df6,0.00,643277.74,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,80546.42971100
407397,0x191F565E660e4323B7a54c193eB571b99fDeaffE,0.00,640901.25,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00637300
325821,0x44D862e3A3Adc095967566D64ea010B1d8081A8c,2176.80,636526.18,2176.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
324851,0x12889C77A17c47480599a6F7366008307770729C,143772.75,629602.51,143772.75,0,0.00000000,0.01000000,0.00000000,0.00000000,0.00000000,0.00000000,3817.80453500
213613,0xe73903C5cfd48D43ac2B26AAD1Ff115fc4200E7D,7052.00,623779.63,7052.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
304836,0x36ECab08DD1165D74Ebfc6450DfDDd3A3284D98d,44034.80,621991.31,44034.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
304840,0x9d5D434126b388712EF88d96132cA3A1F41D9F21,44312.80,621860.73,44312.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
125394,0x81aEAb2a86B6498082Ca7d5024Bfb91AD8eE5867,1562.59,613496.70,1562.59,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,6012.84782755
687442,0x74c77C2A5D0A2aA6A99b757B00CBD61C67dbD1c6,384596.96,612659.82,384596.96,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,295030.13426900
701212,0x73f634c4d8f88E8e8Dda5D347dee44AAe2A74538,0.00,611366.23,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
402547,0xA3F0F3Ff56e1Bb2AF0d551518550bb0d4c2af5DD,27066.40,603951.84,27066.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
